Player,ESPN_Player_ID,IPL_2026_Team,Photo_URL,ESPN_Profile_URL,Team_Logo_Page_URL,PowerBI_Image_Category_Note
Ruturaj Gaikwad,1060380,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/1060380.png,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,https://www.iplt20.com/teams/chennai-super-kings,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Virat Kohli,253802,Royal Challengers Bengaluru,https://a.espncdn.com/i/headshots/cricket/players/full/253802.png,https://www.espncricinfo.com/cricketers/virat-kohli-253802,https://www.iplt20.com/teams/royal-challengers-bengaluru,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Suryakumar Yadav,446507,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/446507.png,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,https://www.iplt20.com/teams/mumbai-indians,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Shubman Gill,1070173,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/1070173.png,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,https://www.iplt20.com/teams/gujarat-titans,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Sanju Samson,425943,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/425943.png,https://www.espncricinfo.com/cricketers/sanju-samson-425943,https://www.iplt20.com/teams/chennai-super-kings,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Jos Buttler,308967,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/308967.png,https://www.espncricinfo.com/cricketers/jos-buttler-308967,https://www.iplt20.com/teams/gujarat-titans,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Yashasvi Jaiswal,1151278,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/1151278.png,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,https://www.iplt20.com/teams/rajasthan-royals,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Faf du Plessis,44828,No IPL 2026 team,https://a.espncdn.com/i/headshots/cricket/players/full/44828.png,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828,,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Tilak Varma,1170265,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/1170265.png,https://www.espncricinfo.com/cricketers/tilak-varma-1170265,https://www.iplt20.com/teams/mumbai-indians,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Rahul Tripathi,1070180,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/1070180.png,https://www.espncricinfo.com/cricketers/rahul-tripathi-1070180,https://www.iplt20.com/teams/kolkata-knight-riders,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
