Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
A Ashish Reddy,1c2a64cd,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/1c2a64cd.png,https://www.espncricinfo.com/cricketers/a-ashish-reddy-1c2a64cd
A Badoni,872b03f7,Lucknow Super Giants,https://a.espncdn.com/i/headshots/cricket/players/full/872b03f7.png,https://www.espncricinfo.com/cricketers/a-badoni-872b03f7
A Chandila,99b202b3,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/99b202b3.png,https://www.espncricinfo.com/cricketers/a-chandila-99b202b3
A Chopra,e249fdaa,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/e249fdaa.png,https://www.espncricinfo.com/cricketers/a-chopra-e249fdaa
A Choudhary,18e6906e,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/18e6906e.png,https://www.espncricinfo.com/cricketers/a-choudhary-18e6906e
A Dananjaya,5b16a806,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/5b16a806.png,https://www.espncricinfo.com/cricketers/a-dananjaya-5b16a806
A Flintoff,ddc0828d,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/ddc0828d.png,https://www.espncricinfo.com/cricketers/a-flintoff-ddc0828d
A Kamboj,fcc21ace,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/fcc21ace.png,https://www.espncricinfo.com/cricketers/a-kamboj-fcc21ace
A Kumble,0c2730df,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/0c2730df.png,https://www.espncricinfo.com/cricketers/a-kumble-0c2730df
A Manohar,0890552f,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/0890552f.png,https://www.espncricinfo.com/cricketers/a-manohar-0890552f
A Mhatre,b2b4f545,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/b2b4f545.png,https://www.espncricinfo.com/cricketers/a-mhatre-b2b4f545
A Mishra,6b19d823,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/6b19d823.png,https://www.espncricinfo.com/cricketers/a-mishra-6b19d823
A Mithun,66cf56a5,Royal Challengers Bangalore,https://a.espncdn.com/i/headshots/cricket/players/full/66cf56a5.png,https://www.espncricinfo.com/cricketers/a-mithun-66cf56a5
A Mukund,6165bca6,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/6165bca6.png,https://www.espncricinfo.com/cricketers/a-mukund-6165bca6
A Nehra,96fd40ae,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/96fd40ae.png,https://www.espncricinfo.com/cricketers/a-nehra-96fd40ae
A Nel,2503e881,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/2503e881.png,https://www.espncricinfo.com/cricketers/a-nel-2503e881
A Nortje,acdc62f5,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/acdc62f5.png,https://www.espncricinfo.com/cricketers/a-nortje-acdc62f5
A Raghuvanshi,d7017798,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/d7017798.png,https://www.espncricinfo.com/cricketers/a-raghuvanshi-d7017798
A Singh,5b040b81,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/5b040b81.png,https://www.espncricinfo.com/cricketers/a-singh-5b040b81
A Symonds,bd77eb62,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/bd77eb62.png,https://www.espncricinfo.com/cricketers/a-symonds-bd77eb62
A Tomar,aa5d8c9e,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/aa5d8c9e.png,https://www.espncricinfo.com/cricketers/a-tomar-aa5d8c9e
A Uniyal,fdcb08c2,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/fdcb08c2.png,https://www.espncricinfo.com/cricketers/a-uniyal-fdcb08c2
