Venue Rank by Matches,venue,city,matches,seasons_played,first_innings,avg_first_innings_score,avg_second_innings_score,highest_first_innings_score,lowest_first_innings_score,highest_second_innings_score,lowest_second_innings_score,batting_first_wins,chasing_wins,no_results,avg_total_match_runs,avg_total_match_wickets,avg_first_innings_overs,avg_second_innings_overs,batting_first_win_pct,chasing_win_pct,venue_label
1,Eden Gardens,Kolkata,77,11,77,160.18,147.06,232,81,204.0,49.0,30,47,0,307.25,11.4,19.67,17.93,38.96,61.04,Eden Gardens
2,Wankhede Stadium,Mumbai,73,10,73,166.03,154.38,235,67,223.0,68.0,35,37,1,320.41,12.22,19.83,18.65,47.95,50.68,Wankhede Stadium
3,M Chinnaswamy Stadium,Bangalore,65,9,65,168.06,145.52,263,89,204.0,2.0,26,36,3,311.34,11.4,19.39,17.4,40.0,55.38,M Chinnaswamy Stadium
4,Feroz Shah Kotla,Delhi,60,9,60,161.63,147.85,231,56,214.0,44.0,27,32,1,307.02,11.62,19.6,18.02,45.0,53.33,Feroz Shah Kotla
5,"Wankhede Stadium, Mumbai",Mumbai,59,6,59,181.92,171.53,243,97,249.0,103.0,24,35,0,353.44,11.8,19.83,18.46,40.68,59.32,"Wankhede Stadium, Mumbai"
6,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,49,8,49,156.14,146.98,223,80,217.0,81.0,19,29,1,303.12,11.53,19.8,18.21,38.78,59.18,"Rajiv Gandhi International Stadium, Uppal"
7,"MA Chidambaram Stadium, Chepauk",Chennai,48,6,48,166.02,151.85,246,112,223.0,95.0,30,17,1,317.88,11.73,19.99,19.3,62.5,35.42,"MA Chidambaram Stadium, Chepauk"
8,Sawai Mansingh Stadium,Jaipur,47,7,47,157.68,145.81,197,94,197.0,60.0,15,32,0,303.49,11.02,19.88,18.14,31.91,68.09,Sawai Mansingh Stadium
9,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,41,5,41,168.32,156.88,217,103,213.0,101.0,17,23,1,325.2,12.61,19.91,18.6,41.46,56.1,"MA Chidambaram Stadium, Chepauk, Chennai"
10,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,41,6,41,185.8,166.1,243,89,232.0,86.0,20,21,0,351.9,12.61,19.9,18.17,48.78,51.22,"Narendra Modi Stadium, Ahmedabad"
11,"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,7,35,163.29,150.63,240,106,207.0,84.0,15,20,0,313.91,11.74,19.62,18.42,42.86,57.14,"Punjab Cricket Association Stadium, Mohali"
12,Dubai International Cricket Stadium,Unknown,33,2,33,166.73,148.48,219,110,201.0,109.0,17,13,3,315.21,11.67,20.0,19.07,51.52,39.39,Dubai International Cricket Stadium
13,"Arun Jaitley Stadium, Delhi",Delhi,30,5,30,193.63,180.7,278,75,265.0,77.0,13,16,1,374.33,11.57,19.86,18.49,43.33,53.33,"Arun Jaitley Stadium, Delhi"
14,"Eden Gardens, Kolkata",Kolkata,30,5,30,190.33,174.93,261,25,262.0,7.0,15,13,2,359.43,11.73,19.31,17.89,50.0,43.33,"Eden Gardens, Kolkata"
15,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,29,4,29,174.79,166.46,235,121,230.0,108.0,11,16,2,335.52,11.9,19.88,18.57,37.93,55.17,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
16,Sheikh Zayed Stadium,Abu Dhabi,29,2,29,158.86,145.62,205,70,206.0,71.0,11,16,2,304.48,11.21,19.83,18.51,37.93,55.17,Sheikh Zayed Stadium
17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,26,4,26,194.65,181.76,286,133,247.0,131.0,13,12,1,369.42,11.42,19.96,18.58,50.0,46.15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
18,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,24,4,24,190.38,181.71,287,95,262.0,98.0,11,13,0,372.08,12.5,19.72,18.25,45.83,54.17,"M Chinnaswamy Stadium, Bengaluru"
19,Maharashtra Cricket Association Stadium,Pune,22,5,22,166.41,152.09,211,73,198.0,78.0,8,14,0,318.5,11.77,19.75,18.71,36.36,63.64,Maharashtra Cricket Association Stadium
20,"Sawai Mansingh Stadium, Jaipur",Jaipur,21,4,21,194.52,178.29,229,118,229.0,59.0,9,12,0,372.81,10.19,19.88,18.12,42.86,57.14,"Sawai Mansingh Stadium, Jaipur"
21,Sharjah Cricket Stadium,Unknown,18,2,18,171.33,157.78,228,114,226.0,112.0,7,11,0,329.11,10.78,20.0,18.44,38.89,61.11,Sharjah Cricket Stadium
22,"Brabourne Stadium, Mumbai",Mumbai,17,2,17,177.41,165.18,217,68,211.0,72.0,8,9,0,342.59,12.41,19.77,18.11,47.06,52.94,"Brabourne Stadium, Mumbai"
23,Dr DY Patil Sports Academy,Mumbai,17,3,17,146.65,136.29,187,82,190.0,86.0,7,10,0,282.94,12.71,19.65,17.74,41.18,58.82,Dr DY Patil Sports Academy
24,Subrata Roy Sahara Stadium,Pune,16,2,16,149.44,133.56,187,99,170.0,100.0,10,6,0,283.0,11.44,20.0,18.74,62.5,37.5,Subrata Roy Sahara Stadium
25,Kingsmead,Durban,15,1,15,152.0,138.2,211,101,180.0,79.0,8,7,0,290.2,13.4,19.96,18.91,53.33,46.67,Kingsmead
26,M.Chinnaswamy Stadium,Bengaluru,15,3,15,173.93,167.87,218,62,207.0,41.0,7,7,1,341.8,11.93,18.95,18.39,46.67,46.67,M.Chinnaswamy Stadium
27,Rajiv Gandhi International Stadium,Hyderabad,15,2,15,162.6,146.13,231,125,201.0,96.0,8,7,0,308.73,12.67,20.0,18.67,53.33,46.67,Rajiv Gandhi International Stadium
28,Arun Jaitley Stadium,Delhi,14,2,14,168.29,155.0,219,115,191.0,121.0,7,6,1,323.29,12.07,19.79,18.71,50.0,42.86,Arun Jaitley Stadium
29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,13,4,13,157.46,130.69,206,121,173.0,76.0,6,7,0,288.15,12.54,20.0,17.77,46.15,53.85,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
30,Dubai International Cricket Stadium,Dubai,13,1,13,156.23,150.62,192,115,183.0,111.0,4,9,0,306.85,11.77,20.0,18.58,30.77,69.23,Dubai International Cricket Stadium
31,"Maharashtra Cricket Association Stadium, Pune",Pune,13,1,13,171.46,144.54,210,144,189.0,82.0,10,3,0,316.0,13.46,20.0,18.53,76.92,23.08,"Maharashtra Cricket Association Stadium, Pune"
32,"Sardar Patel Stadium, Motera",Ahmedabad,12,3,12,163.17,149.0,201,130,191.0,102.0,6,5,1,312.17,11.75,20.0,18.78,50.0,41.67,"Sardar Patel Stadium, Motera"
33,SuperSport Park,Centurion,12,1,12,154.83,149.58,188,105,189.0,107.0,4,8,0,304.42,11.08,19.83,18.27,33.33,66.67,SuperSport Park
34,"Dr DY Patil Sports Academy, Mumbai",Mumbai,11,1,11,172.73,164.36,216,128,208.0,132.0,5,6,0,337.09,12.27,19.86,19.33,45.45,54.55,"Dr DY Patil Sports Academy, Mumbai"
35,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,2,11,164.09,158.18,207,67,192.0,68.0,5,6,0,322.27,10.45,19.74,18.11,45.45,54.55,"Punjab Cricket Association IS Bindra Stadium, Mohali"
36,Brabourne Stadium,Mumbai,10,3,10,180.4,167.7,212,151,208.0,115.0,6,4,0,348.1,12.0,20.0,19.33,60.0,40.0,Brabourne Stadium
37,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,10,4,10,205.2,187.56,254,122,216.0,139.0,6,3,1,374.0,12.0,19.01,19.36,60.0,30.0,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
38,Punjab Cricket Association IS Bindra Stadium,Chandigarh,10,2,10,175.6,172.0,197,150,193.0,151.0,4,6,0,347.6,10.4,20.0,19.08,40.0,60.0,Punjab Cricket Association IS Bindra Stadium
39,Saurashtra Cricket Association Stadium,Rajkot,10,2,10,168.9,162.7,213,135,192.0,131.0,3,6,1,331.6,10.7,19.95,18.15,30.0,60.0,Saurashtra Cricket Association Stadium
40,Sharjah Cricket Stadium,Sharjah,10,1,10,136.9,129.0,171,90,158.0,85.0,3,7,0,265.9,12.8,20.0,17.8,30.0,70.0,Sharjah Cricket Stadium
41,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,9,1,9,168.22,150.11,210,143,208.0,113.0,5,4,0,318.33,13.22,20.0,18.67,55.56,44.44,"Dr DY Patil Sports Academy, Mumbai"
42,Himachal Pradesh Cricket Association Stadium,Dharamsala,9,4,9,175.67,146.22,232,120,195.0,116.0,5,4,0,321.89,11.56,20.0,18.68,55.56,44.44,Himachal Pradesh Cricket Association Stadium
43,Holkar Cricket Stadium,Indore,9,3,9,160.33,158.78,245,88,214.0,92.0,1,8,0,319.11,10.22,19.27,15.53,11.11,88.89,Holkar Cricket Stadium
44,MA Chidambaram Stadium,Chennai,9,2,9,150.56,134.22,202,70,205.0,71.0,4,5,0,284.78,11.11,19.68,18.39,44.44,55.56,MA Chidambaram Stadium
45,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,9,2,9,169.89,160.89,219,111,201.0,95.0,5,4,0,330.78,14.67,19.48,18.94,55.56,44.44,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
46,"Barsapara Cricket Stadium, Guwahati",Guwahati,8,4,8,168.88,157.62,201,127,202.0,123.0,4,4,0,326.5,12.62,18.8,17.11,50.0,50.0,"Barsapara Cricket Stadium, Guwahati"
47,New Wanderers Stadium,Johannesburg,8,1,8,144.0,142.5,163,123,166.0,125.0,3,5,0,286.5,11.5,20.0,19.09,37.5,62.5,New Wanderers Stadium
