Team_Name,Short_Name,Base,First_Season,Last_Season,Status,ESPN_CDN_Slug,ESPN_Logo_URL,ESPN_Team_URL,Image_Category
Chennai Super Kings,CSK,Chennai,2008,2026,Active,csk,https://a.espncdn.com/i/teamlogos/cricket/500/csk.png,https://www.espn.com/cricket/team/_/id/335974/chennai-super-kings,Image URL
Delhi Daredevils ,DC,Delhi,2008,2026,Active (renamed 2019),dc,https://a.espncdn.com/i/teamlogos/cricket/500/dc.png,https://www.espn.com/cricket/team/_/id/335975/delhi-capitals,Image URL
Kolkata Knight Riders,KKR,Kolkata,2008,2026,Active,kkr,https://a.espncdn.com/i/teamlogos/cricket/500/kkr.png,https://www.espn.com/cricket/team/_/id/335971/kolkata-knight-riders,Image URL
Mumbai Indians,MI,Mumbai,2008,2026,Active,mi,https://a.espncdn.com/i/teamlogos/cricket/500/mi.png,https://www.espn.com/cricket/team/_/id/335977/mumbai-indians,Image URL
Kings XI Punjab ,PBKS,Punjab,2008,2026,Active (renamed 2021),pbks,https://a.espncdn.com/i/teamlogos/cricket/500/pbks.png,https://www.espn.com/cricket/team/_/id/335970/punjab-kings,Image URL
Rajasthan Royals,RR,Rajasthan,2008,2026,Active (suspended 2016–2017),rr,https://a.espncdn.com/i/teamlogos/cricket/500/rr.png,https://www.espn.com/cricket/team/_/id/335979/rajasthan-royals,Image URL
Royal Challengers Bangalore ,RCB,Bengaluru,2008,2026,Active (name updated 2024),rcb,https://a.espncdn.com/i/teamlogos/cricket/500/rcb.png,https://www.espn.com/cricket/team/_/id/335973/royal-challengers-bangalore,Image URL
Deccan Chargers,DCG,Hyderabad,2008,2012,Defunct,dcg,https://a.espncdn.com/i/teamlogos/cricket/500/dcg.png,,Image URL
Sunrisers Hyderabad,SRH,Hyderabad,2013,2026,Active,srh,https://a.espncdn.com/i/teamlogos/cricket/500/srh.png,https://www.espn.com/cricket/team/_/id/335976/sunrisers-hyderabad,Image URL
Kochi Tuskers Kerala,KTK,Kochi/Kerala,2011,2011,Defunct,ktk,https://a.espncdn.com/i/teamlogos/cricket/500/ktk.png,,Image URL
Pune Warriors India,PWI,Pune,2011,2013,Defunct,pwi,https://a.espncdn.com/i/teamlogos/cricket/500/pwi.png,,Image URL
Gujarat Lions,GL,Gujarat,2016,2017,Defunct,gl,https://a.espncdn.com/i/teamlogos/cricket/500/gl.png,,Image URL
Rising Pune Supergiant,RPS,Pune,2016,2017,Defunct,rps,https://a.espncdn.com/i/teamlogos/cricket/500/rps.png,,Image URL
Gujarat Titans,GT,Ahmedabad,2022,2026,Active,gt,https://a.espncdn.com/i/teamlogos/cricket/500/gt.png,https://www.espn.com/cricket/team/_/id/335982/gujarat-titans,Image URL
Lucknow Super Giants,LSG,Lucknow,2022,2026,Active,lsg,https://a.espncdn.com/i/teamlogos/cricket/500/lsg.png,https://www.espn.com/cricket/team/_/id/335983/lucknow-super-giants,Image URL
 Punjab Kings,PBKS,Punjab,2008,2026,Active (renamed 2021),pbks,https://a.espncdn.com/i/teamlogos/cricket/500/pbks.png,https://www.espn.com/cricket/team/_/id/335970/punjab-kings,Image URL
Royal Challengers  Bengaluru,RCB,Bengaluru,2008,2026,Active (name updated 2024),rcb,https://a.espncdn.com/i/teamlogos/cricket/500/rcb.png,https://www.espn.com/cricket/team/_/id/335973/royal-challengers-bangalore,Image URL
Delhi Capitals,DC,Delhi,2008,2026,Active (renamed 2019),dc,https://a.espncdn.com/i/teamlogos/cricket/500/dc.png,https://www.espn.com/cricket/team/_/id/335975/delhi-capitals,Image URL
