season,batter,matches,runs,balls,fours,sixes,strike_rate
2009,A Chopra,1,11,19,2,0,57.89
2009,A Flintoff,3,62,53,5,2,116.98
2009,A Kumble,6,16,19,2,0,84.21
2009,A Mishra,5,26,20,2,2,130.0
2009,A Nehra,1,1,1,0,0,100.0
2009,A Singh,2,1,3,0,0,33.33
2009,A Symonds,8,249,163,15,11,152.76
2009,AA Bilakhia,6,67,80,5,0,83.75
2009,AB Agarkar,5,66,57,3,3,115.79
2009,AB Dinda,2,2,3,0,0,66.67
2009,AB McDonald,1,3,4,0,0,75.0
2009,AB de Villiers,13,465,354,39,12,131.36
2009,AC Gilchrist,16,495,322,54,29,153.73
2009,AD Mascarenhas,4,39,39,4,0,100.0
2009,AD Mathews,1,16,13,2,0,123.08
2009,AM Nayar,11,193,151,14,7,127.81
2009,AM Rahane,7,144,121,12,3,119.01
2009,AN Ghosh,2,7,8,1,0,87.5
2009,AS Raut,7,78,61,5,3,127.87
2009,B Akhil,3,17,15,1,1,113.33
2009,B Lee,4,28,34,2,1,82.35
2009,BAW Mendis,1,0,1,0,0,0.0
2009,BB McCullum,13,286,236,27,12,121.19
2009,BJ Hodge,12,365,309,34,9,118.12
2009,C Nanda,1,0,1,0,0,0.0
2009,CH Gayle,7,184,148,18,10,124.32
2009,D du Preez,1,10,13,0,0,76.92
2009,DA Warner,7,163,132,16,5,123.48
2009,DB Ravi Teja,6,65,70,7,0,92.86
2009,DJ Bravo,10,218,201,15,8,108.46
2009,DJ Hussey,4,98,57,7,6,171.93
2009,DL Vettori,3,34,31,3,0,109.68
2009,DPMD Jayawardene,10,219,165,17,7,132.73
2009,DR Smith,8,215,131,12,15,164.12
2009,DS Kulkarni,3,9,17,0,0,52.94
2009,DW Steyn,1,0,3,0,0,0.0
2009,FH Edwards,2,4,5,0,0,80.0
2009,G Gambhir,15,286,276,32,2,103.62
2009,GC Smith,12,212,213,27,1,99.53
2009,GJ Bailey,2,45,39,7,0,115.38
2009,GR Napier,1,15,16,1,0,93.75
2009,HH Gibbs,14,371,330,32,12,112.42
2009,Harbhajan Singh,10,84,53,6,5,158.49
2009,I Sharma,3,16,13,1,1,123.08
2009,IK Pathan,12,196,158,17,6,124.05
2009,J Botha,3,47,39,5,0,120.51
2009,JA Morkel,10,97,70,8,4,138.57
2009,JD Ryder,5,56,48,9,0,116.67
2009,JDP Oram,8,88,92,5,4,95.65
2009,JH Kallis,15,361,331,37,8,109.06
2009,JP Duminy,12,372,325,26,11,114.46
2009,Joginder Sharma,2,20,18,0,1,111.11
2009,K Goel,8,124,133,9,4,93.23
2009,KC Sangakkara,13,332,322,29,5,103.11
2009,KD Karthik,13,288,217,20,9,132.72
2009,KP Appanna,1,0,1,0,0,0.0
2009,KP Pietersen,6,93,84,8,2,110.71
2009,KV Sharma,1,1,3,0,0,33.33
2009,Kamran Khan,1,3,5,0,0,60.0
2009,L Balaji,3,4,10,0,0,40.0
2009,L Ronchi,1,0,2,0,0,0.0
2009,LA Carseldine,5,81,66,11,0,122.73
2009,LA Pomersbach,4,41,46,3,1,89.13
2009,LR Shukla,6,83,85,5,3,97.65
2009,LRPL Taylor,11,280,206,20,15,135.92
2009,M Kartik,2,21,20,0,0,105.0
2009,M Manhas,6,75,62,7,1,120.97
2009,M Morkel,1,8,8,1,0,100.0
2009,M Muralitharan,4,8,8,1,0,100.0
2009,M Rawat,3,16,19,1,0,84.21
2009,M Vijay,4,60,67,4,2,89.55
2009,MC Henriques,3,38,40,2,1,95.0
2009,MF Maharoof,2,21,21,0,0,100.0
2009,MK Pandey,4,168,117,17,4,143.59
2009,MK Tiwary,1,9,13,1,0,69.23
2009,ML Hayden,12,572,393,60,22,145.55
2009,MM Patel,5,33,26,5,0,126.92
2009,MN van Wyk,5,167,131,19,1,127.48
2009,MS Dhoni,13,332,261,22,9,127.2
2009,MS Gony,2,13,7,0,2,185.71
2009,MV Boucher,9,150,114,8,6,131.58
2009,Mashrafe Mortaza,1,2,2,0,0,100.0
2009,Mohammad Ashraful,1,2,10,0,0,20.0
2009,NK Patel,2,18,38,1,0,47.37
2009,NV Ojha,8,168,144,11,11,116.67
2009,P Kumar,8,65,46,1,6,141.3
2009,PA Patel,9,142,126,19,2,112.7
2009,PC Valthaty,2,6,12,1,0,50.0
2009,PJ Sangwan,4,6,10,0,0,60.0
2009,PP Chawla,8,31,36,3,0,86.11
2009,PP Ojha,4,1,7,0,0,14.29
2009,PR Shah,4,53,51,4,2,103.92
2009,Pankaj Singh,2,1,2,0,0,50.0
2009,R Ashwin,1,8,15,1,0,53.33
2009,R Bhatia,5,8,18,1,0,44.44
2009,R Bishnoi,3,19,17,1,2,111.76
2009,R Dravid,12,271,234,28,3,115.81
2009,R Vinay Kumar,7,47,44,4,1,106.82
2009,RA Jadeja,13,295,265,21,6,111.32
2009,RE van der Merwe,8,122,98,8,8,124.49
2009,RG Sharma,16,362,313,22,18,115.65
2009,RJ Harris,5,21,18,0,0,116.67
2009,RJ Quiney,7,103,102,12,3,100.98
2009,RP Singh,5,8,17,0,0,47.06
2009,RR Powar,3,23,22,2,0,104.55
2009,RR Raje,2,12,9,0,1,133.33
2009,RS Bopara,5,138,119,8,7,115.97
2009,RV Uthappa,13,175,170,18,3,102.94
2009,S Badrinath,11,177,164,20,4,107.93
2009,S Dhawan,4,40,45,3,0,88.89
2009,S Sohal,8,115,91,9,8,126.37
2009,S Sreesanth,2,5,18,1,0,27.78
2009,SA Asnodkar,8,98,93,11,4,105.38
2009,SB Bangar,1,2,9,0,0,22.22
2009,SB Jakati,2,20,15,3,0,133.33
2009,SB Styris,1,14,8,0,1,175.0
2009,SC Ganguly,11,189,205,13,6,92.2
2009,SD Chitnis,1,6,8,1,0,75.0
2009,SK Raina,14,434,306,37,21,141.83
2009,SK Trivedi,3,9,17,0,0,52.94
2009,SK Warne,10,108,116,6,4,93.1
2009,SL Malinga,1,0,1,0,0,0.0
2009,SM Harwood,2,9,13,0,0,69.23
2009,SM Katich,9,145,117,15,6,123.93
2009,SP Goswami,2,53,60,6,0,88.33
2009,SR Tendulkar,13,364,299,39,10,121.74
2009,SS Shaikh,1,6,7,1,0,85.71
2009,SS Tiwary,3,13,12,0,0,108.33
2009,ST Jayasuriya,12,221,190,23,7,116.32
2009,Shoaib Ahmed,3,1,6,0,0,16.67
2009,T Henderson,2,11,15,0,1,73.33
2009,T Kohli,1,1,4,0,0,25.0
2009,T Thushara,2,2,7,0,0,28.57
2009,TL Suman,12,237,190,18,8,124.74
2009,TM Dilshan,13,418,339,42,13,123.3
2009,TM Srivastava,1,0,1,0,0,0.0
2009,V Kohli,13,246,219,22,8,112.33
2009,V Sehwag,11,198,134,24,7,147.76
2009,VVS Laxman,5,19,33,1,1,57.58
2009,W Jaffer,2,15,17,2,0,88.24
2009,WA Mota,6,30,48,0,0,62.5
2009,WP Saha,7,72,41,3,4,175.61
2009,WPUJC Vaas,2,30,21,1,1,142.86
2009,Y Nagar,1,20,20,1,0,100.0
2009,Y Venugopal Rao,12,124,114,6,3,108.77
2009,YK Pathan,13,261,187,25,14,139.57
2009,YV Takawale,1,18,22,2,0,81.82
2009,Yashpal Singh,4,47,65,5,0,72.31
2009,Yuvraj Singh,14,340,294,25,16,115.65
2009,Z Khan,3,8,11,0,0,72.73
2011,A Mishra,9,68,49,9,1,138.78
2011,A Mithun,4,27,20,3,1,135.0
2011,A Singh,2,1,4,0,0,25.0
2011,A Symonds,9,135,138,9,3,97.83
2011,AA Chavan,1,1,3,0,0,33.33
2011,AA Jhunjhunwala,2,10,17,2,0,58.82
2011,AB Agarkar,1,7,5,1,0,140.0
2011,AB Dinda,1,0,5,0,0,0.0
2011,AB McDonald,1,8,7,0,0,114.29
2011,AB de Villiers,13,312,242,21,14,128.93
2011,AC Blizzard,6,120,87,21,2,137.93
2011,AC Gilchrist,14,383,291,41,18,131.62
2011,AC Thomas,2,1,4,0,0,25.0
2011,AG Murtaza,1,2,5,0,0,40.0
2011,AG Paunikar,4,49,54,9,0,90.74
2011,AJ Finch,6,47,46,3,3,102.17
2011,AL Menaria,10,180,152,10,10,118.42
2011,AM Nayar,9,61,66,9,0,92.42
2011,AM Rahane,7,120,98,12,2,122.45
2011,AN Ahmed,1,18,13,1,1,138.46
2011,AS Raut,4,60,58,5,1,103.45
