season,bowler,matches,balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,overs,economy,dot_ball_pct
2009,A Flintoff,3,66,105,2,20,7,7,11.0,9.55,30.3
2009,A Kumble,16,355,340,22,138,18,8,59.17,5.75,38.87
2009,A Mishra,11,253,285,14,98,13,13,42.17,6.76,38.74
2009,A Mithun,1,24,39,0,7,3,2,4.0,9.75,29.17
2009,A Nehra,13,306,326,22,139,30,9,51.0,6.39,45.42
2009,A Singh,5,105,93,9,56,9,2,17.5,5.31,53.33
2009,A Symonds,8,144,156,9,65,9,8,24.0,6.5,45.14
2009,AB Agarkar,11,186,270,8,65,31,9,31.0,8.71,34.95
2009,AB Dinda,8,144,187,6,67,18,9,24.0,7.79,46.53
2009,AB McDonald,1,18,22,0,2,1,0,3.0,7.33,11.11
2009,AD Mascarenhas,5,116,132,6,58,13,5,19.33,6.83,50.0
2009,AD Mathews,1,14,30,0,2,4,1,2.33,12.86,14.29
2009,AM Nayar,4,72,79,4,27,7,1,12.0,6.58,37.5
2009,AM Rahane,1,6,5,1,2,0,0,1.0,5.0,33.33
2009,AM Salvi,5,102,126,4,40,10,6,17.0,7.41,39.22
2009,AS Raut,4,24,36,0,4,3,1,4.0,9.0,16.67
2009,Anureet Singh,2,30,43,2,16,4,3,5.0,8.6,53.33
2009,B Akhil,5,66,77,4,19,5,2,11.0,7.0,28.79
2009,B Lee,5,120,98,6,69,12,1,20.0,4.9,57.5
2009,BAW Mendis,4,100,133,4,26,5,7,16.67,7.98,26.0
2009,BJ Hodge,9,120,153,7,34,7,8,20.0,7.65,28.33
2009,C Nanda,3,48,55,2,13,1,2,8.0,6.88,27.08
2009,CH Gayle,7,113,132,1,32,7,4,18.83,7.01,28.32
2009,CK Langeveldt,1,24,14,3,16,2,0,4.0,3.5,66.67
2009,D du Preez,2,42,55,4,18,6,1,7.0,7.86,42.86
2009,DJ Bravo,11,199,246,14,89,24,11,33.17,7.42,44.72
2009,DJ Hussey,3,24,33,1,7,2,1,4.0,8.25,29.17
2009,DL Vettori,7,139,179,10,48,15,7,23.17,7.73,34.53
2009,DP Nannes,13,297,349,20,135,46,7,49.5,7.05,45.45
2009,DR Smith,8,84,122,1,26,11,6,14.0,8.71,30.95
2009,DS Kulkarni,8,156,198,5,65,23,6,26.0,7.62,41.67
2009,DW Steyn,3,54,57,3,27,4,3,9.0,6.33,50.0
2009,FH Edwards,6,140,144,6,70,20,2,23.33,6.17,50.0
2009,GR Napier,1,24,27,1,8,2,1,4.0,6.75,33.33
2009,Harbhajan Singh,13,264,252,13,103,19,6,44.0,5.73,39.02
