ESPN_Player_ID,Player_Name,Season,Matches,Innings,Overs,Maidens,Runs_Conceded,Wickets,BBI,Average,Economy,Strike_Rate,4w,5w
26421,Ravichandran Ashwin,2026,16,14,45.4,3,379,18,1/5,21.06,8.3,15.22,0,0
481896,Mohammed Shami,2026,17,15,48.5,3,354,18,3/12,19.67,7.25,16.28,0,0
1387999,Krunal Krishna,2026,17,16,61.1,0,501,17,3/24,29.47,8.19,21.59,0,0
155214,Saurabh Sundar,2026,16,16,39.2,0,308,14,6/14,22.0,7.83,16.86,1,2
1372472,Khaleel Bishnoi,2026,14,14,48.0,0,546,13,3/29,42.0,11.38,22.15,0,0
1125976,Arshdeep Singh,2026,14,12,45.2,0,344,13,4/20,26.46,7.59,20.92,1,0
978292,Navdeep Malik,2026,16,13,37.5,0,417,12,3/12,34.75,11.02,18.92,0,0
873476,RP Patel,2026,16,10,36.1,0,413,11,3/7,37.55,11.42,19.73,0,0
940973,Mohammed Siraj,2026,17,12,30.3,0,264,11,3/10,24.0,8.66,16.64,0,0
49758,Lasith Malinga,2026,15,10,29.1,3,213,11,2/16,19.36,7.3,15.91,0,0
1081103,Saurabh Patel,2026,16,11,29.2,0,271,9,3/5,30.11,9.24,19.56,0,0
730365,Washington Kumar,2026,13,8,28.4,0,255,8,4/13,31.88,8.9,21.5,1,0
785941,Krunal Bishnoi,2026,15,10,29.0,0,294,8,3/16,36.75,10.14,21.75,0,0
934523,Chetan Sundar,2026,11,7,22.3,0,248,7,2/20,35.43,11.02,19.29,0,0
148106,Jaydev Unadkat,2026,14,8,25.3,0,228,7,6/17,32.57,8.94,21.86,0,1
1488671,Mukesh Kaul,2026,16,12,39.5,0,435,7,2/10,62.14,10.92,34.14,0,0
550215,Kagiso Rabada,2026,13,8,20.0,2,139,7,6/14,19.86,6.95,17.14,0,1
333776,Khaleel Unadkat,2026,16,8,31.4,0,291,7,4/8,41.57,9.19,27.14,1,0
625383,Jasprit Bumrah,2026,7,7,19.4,0,128,7,1/15,18.29,6.51,16.86,0,0
312961,Vinay Sundar,2026,16,10,36.4,0,416,6,3/18,69.33,11.35,36.67,0,0
1495108,Vinay Unadkat,2026,10,8,28.1,0,264,6,6/14,44.0,9.37,28.17,0,1
377569,Khaleel Yadav,2026,15,12,31.2,0,271,6,2/14,45.17,8.65,31.33,0,0
549015,Tushar Pandey,2026,7,7,26.3,0,227,6,6/18,37.83,8.57,26.5,0,1
1389011,Irfan Dayal,2026,14,11,31.1,0,344,6,2/25,57.33,11.04,31.17,0,0
540472,Nitish Sundar,2026,11,8,20.4,0,212,6,1/6,35.33,10.26,20.67,0,0
40618,Imran Tahir,2026,12,8,21.4,1,149,6,1/10,24.83,6.88,21.67,0,0
51939,Jaydev Saini,2026,9,9,29.1,0,328,6,1/23,54.67,11.25,29.17,0,0
521223,Krunal Sharma,2026,12,12,30.0,0,294,6,4/8,49.0,9.8,30.0,1,0
1239460,Ravi Unadkat,2026,17,10,34.5,0,382,6,4/28,63.67,10.97,34.83,1,0
27716,Rahul Sharma,2026,12,7,17.1,0,157,6,3/22,26.17,9.15,17.17,0,0
