season,Player,Player_ID,Team,Matches,Batting_Runs,Batting_Balls,Batting_Dismissals,Batting_Average,Strike_Rate,Fours,Sixes,Bowling_Balls,Overs,Bowling_Runs_Conceded,Bowling_Wickets,Bowling_Strike_Rate,Economy,Dot_Balls,Dot_Ball_Pct,Team_Matches,Team_Wins,Team_Losses,Team_No_Results,Team_Win_Pct,Team_Points,ESPN_Player_ID,Photo_URL,ESPN_Profile_URL
2007/08,A Chopra,e249fdaa,Kolkata Knight Riders,5,42,52,4,10.5,80.77,5,0,0,,0,0,,,0,,13,6,7,0,46.15,12,e249fdaa,https://a.espncdn.com/i/headshots/cricket/players/full/e249fdaa.png,https://www.espncricinfo.com/cricketers/a-chopra-e249fdaa
2007/08,A Kumble,0c2730df,Royal Challengers Bangalore,10,13,17,1,13.0,76.47,1,0,230,38.33,304,7,32.86,7.93,85,36.96,14,4,10,0,28.57,8,0c2730df,https://a.espncdn.com/i/headshots/cricket/players/full/0c2730df.png,https://www.espncricinfo.com/cricketers/a-kumble-0c2730df
2007/08,A Mishra,6b19d823,Delhi Daredevils,6,37,42,4,9.25,88.1,3,0,119,19.83,138,11,10.82,6.96,42,35.29,14,7,7,0,50.0,14,6b19d823,https://a.espncdn.com/i/headshots/cricket/players/full/6b19d823.png,https://www.espncricinfo.com/cricketers/a-mishra-6b19d823
2007/08,A Mukund,6165bca6,Chennai Super Kings,2,0,1,1,0.0,0.0,0,0,0,,0,0,,,0,,16,9,7,0,56.25,18,6165bca6,https://a.espncdn.com/i/headshots/cricket/players/full/6165bca6.png,https://www.espncricinfo.com/cricketers/a-mukund-6165bca6
2007/08,A Nehra,96fd40ae,Mumbai Indians,14,3,12,0,,25.0,0,0,269,44.83,348,12,22.42,7.76,120,44.61,14,7,7,0,50.0,14,96fd40ae,https://a.espncdn.com/i/headshots/cricket/players/full/96fd40ae.png,https://www.espncricinfo.com/cricketers/a-nehra-96fd40ae
2007/08,A Nel,2503e881,Mumbai Indians,1,0,0,0,,,0,0,18,3.0,31,1,18.0,10.33,7,38.89,14,7,7,0,50.0,14,2503e881,https://a.espncdn.com/i/headshots/cricket/players/full/2503e881.png,https://www.espncricinfo.com/cricketers/a-nel-2503e881
2007/08,A Symonds,bd77eb62,Deccan Chargers,4,161,104,2,80.5,154.81,15,9,41,6.83,101,0,,14.78,9,21.95,14,2,12,0,14.29,4,bd77eb62,https://a.espncdn.com/i/headshots/cricket/players/full/bd77eb62.png,https://www.espncricinfo.com/cricketers/a-symonds-bd77eb62
2007/08,AA Noffke,b69e69ed,Royal Challengers Bangalore,1,9,10,1,9.0,90.0,1,0,24,4.0,40,1,24.0,10.0,6,25.0,14,4,10,0,28.57,8,b69e69ed,https://a.espncdn.com/i/headshots/cricket/players/full/b69e69ed.png,https://www.espncricinfo.com/cricketers/aa-noffke-b69e69ed
2007/08,AB Agarkar,fa463154,Kolkata Knight Riders,9,54,45,4,13.5,120.0,5,2,156,26.0,207,8,19.5,7.96,66,42.31,13,6,7,0,46.15,12,fa463154,https://a.espncdn.com/i/headshots/cricket/players/full/fa463154.png,https://www.espncricinfo.com/cricketers/ab-agarkar-fa463154
2007/08,AB Dinda,66b30f71,Kolkata Knight Riders,13,2,4,1,2.0,50.0,0,0,234,39.0,260,9,26.0,6.67,116,49.57,13,6,7,0,46.15,12,66b30f71,https://a.espncdn.com/i/headshots/cricket/players/full/66b30f71.png,https://www.espncricinfo.com/cricketers/ab-dinda-66b30f71
2007/08,AB de Villiers,c4487b84,Delhi Daredevils,6,95,98,4,23.75,96.94,5,1,0,,0,0,,,0,,14,7,7,0,50.0,14,c4487b84,https://a.espncdn.com/i/headshots/cricket/players/full/c4487b84.png,https://www.espncricinfo.com/cricketers/ab-de-villiers-c4487b84
2007/08,AC Gilchrist,2b6e6dec,Deccan Chargers,14,436,314,13,33.54,138.85,51,19,0,,0,0,,,0,,14,2,12,0,14.29,4,2b6e6dec,https://a.espncdn.com/i/headshots/cricket/players/full/2b6e6dec.png,https://www.espncricinfo.com/cricketers/ac-gilchrist-2b6e6dec
2007/08,AD Mascarenhas,3edb58fc,Rajasthan Royals,1,9,8,1,9.0,112.5,0,1,24,4.0,29,2,12.0,7.25,8,33.33,16,13,3,0,81.25,26,3edb58fc,https://a.espncdn.com/i/headshots/cricket/players/full/3edb58fc.png,https://www.espncricinfo.com/cricketers/ad-mascarenhas-3edb58fc
2007/08,AM Nayar,a45a5e8d,Mumbai Indians,14,206,137,8,25.75,150.36,16,9,42,7.0,68,1,42.0,9.71,14,33.33,14,7,7,0,50.0,14,a45a5e8d,https://a.espncdn.com/i/headshots/cricket/players/full/a45a5e8d.png,https://www.espncricinfo.com/cricketers/am-nayar-a45a5e8d
2007/08,AM Rahane,29e95537,Mumbai Indians,2,4,17,2,2.0,23.53,1,0,0,,0,0,,,0,,14,7,7,0,50.0,14,29e95537,https://a.espncdn.com/i/headshots/cricket/players/full/29e95537.png,https://www.espncricinfo.com/cricketers/am-rahane-29e95537
2007/08,AS Yadav,b9be6507,Deccan Chargers,8,49,39,7,7.0,125.64,5,2,0,,0,0,,,0,,14,2,12,0,14.29,4,b9be6507,https://a.espncdn.com/i/headshots/cricket/players/full/b9be6507.png,https://www.espncricinfo.com/cricketers/as-yadav-b9be6507
2007/08,Abdur Razzak,888e32bf,Royal Challengers Bangalore,1,0,2,0,,0.0,0,0,12,2.0,29,0,,14.5,5,41.67,14,4,10,0,28.57,8,888e32bf,https://a.espncdn.com/i/headshots/cricket/players/full/888e32bf.png,https://www.espncricinfo.com/cricketers/abdur-razzak-888e32bf
2007/08,B Akhil,af7dadf7,Royal Challengers Bangalore,7,46,31,3,15.33,148.39,4,3,104,17.33,134,2,52.0,7.73,34,32.69,14,4,10,0,28.57,8,af7dadf7,https://a.espncdn.com/i/headshots/cricket/players/full/af7dadf7.png,https://www.espncricinfo.com/cricketers/b-akhil-af7dadf7
2007/08,B Chipli,5451a2c1,Royal Challengers Bangalore,3,20,28,3,6.67,71.43,3,0,0,,0,0,,,0,,14,4,10,0,28.57,8,5451a2c1,https://a.espncdn.com/i/headshots/cricket/players/full/5451a2c1.png,https://www.espncricinfo.com/cricketers/b-chipli-5451a2c1
2007/08,B Geeves,50758325,Delhi Daredevils,2,0,0,0,,,0,0,48,8.0,91,1,48.0,11.38,15,31.25,14,7,7,0,50.0,14,50758325,https://a.espncdn.com/i/headshots/cricket/players/full/50758325.png,https://www.espncricinfo.com/cricketers/b-geeves-50758325
2007/08,B Lee,dd09ff8e,Kings XI Punjab,4,17,12,2,8.5,141.67,2,1,96,16.0,112,4,24.0,7.0,44,45.83,15,10,5,0,66.67,20,dd09ff8e,https://a.espncdn.com/i/headshots/cricket/players/full/dd09ff8e.png,https://www.espncricinfo.com/cricketers/b-lee-dd09ff8e
2007/08,BAW Mendis,ea0cdc12,Kolkata Knight Riders,1,0,0,0,,,0,0,24,4.0,24,1,24.0,6.0,9,37.5,13,6,7,0,46.15,12,ea0cdc12,https://a.espncdn.com/i/headshots/cricket/players/full/ea0cdc12.png,https://www.espncricinfo.com/cricketers/baw-mendis-ea0cdc12
2007/08,BB McCullum,b8a55852,Kolkata Knight Riders,4,188,91,3,62.67,206.59,13,15,0,,0,0,,,0,,13,6,7,0,46.15,12,b8a55852,https://a.espncdn.com/i/headshots/cricket/players/full/b8a55852.png,https://www.espncricinfo.com/cricketers/bb-mccullum-b8a55852
2007/08,BJ Hodge,b57f8a9a,Kolkata Knight Riders,3,12,17,2,6.0,70.59,2,0,0,,0,0,,,0,,13,6,7,0,46.15,12,b57f8a9a,https://a.espncdn.com/i/headshots/cricket/players/full/b57f8a9a.png,https://www.espncricinfo.com/cricketers/bj-hodge-b57f8a9a
2007/08,CK Kapugedera,cfad138c,Chennai Super Kings,5,16,22,3,5.33,72.73,0,0,17,2.83,49,0,,17.29,0,0.0,16,9,7,0,56.25,18,cfad138c,https://a.espncdn.com/i/headshots/cricket/players/full/cfad138c.png,https://www.espncricinfo.com/cricketers/ck-kapugedera-cfad138c
