match_id,innings,batting_team,runs,wickets,legal_balls,overs
501219,1,Kochi Tuskers Kerala,132,7,120,20.0
501219,2,Kolkata Knight Riders,126,9,120,20.0
1254101,1,Delhi Capitals,164,5,120,20.0
1254101,2,Royal Challengers Bangalore,166,3,120,20.0
1473448,1,Rajasthan Royals,182,9,120,20.0
1473448,2,Chennai Super Kings,176,6,120,20.0
1178425,1,Chennai Super Kings,179,4,120,20.0
1178425,2,Delhi Capitals,99,10,98,16.2
1254084,1,Chennai Super Kings,218,4,120,20.0
1254084,2,Mumbai Indians,219,6,120,20.0
1082644,1,Mumbai Indians,173,5,120,20.0
1082644,2,Kolkata Knight Riders,164,8,120,20.0
1359531,1,Mumbai Indians,218,5,120,20.0
1359531,2,Gujarat Titans,191,8,120,20.0
1082629,1,Gujarat Lions,161,10,119,19.5
1082629,2,Rising Pune Supergiant,167,5,119,19.5
1312200,1,Rajasthan Royals,130,9,120,20.0
1312200,2,Gujarat Titans,133,3,109,18.1
548332,1,Rajasthan Royals,146,4,120,20.0
548332,2,Chennai Super Kings,147,3,120,20.0
1178405,1,Delhi Capitals,155,7,120,20.0
1178405,2,Sunrisers Hyderabad,116,10,113,18.5
598023,1,Rajasthan Royals,117,10,118,19.4
598023,2,Royal Challengers Bangalore,123,3,107,17.5
829743,1,Sunrisers Hyderabad,176,4,120,20.0
829743,2,Kolkata Knight Riders,101,4,72,12.0
598006,1,Mumbai Indians,209,5,120,20.0
598006,2,Delhi Daredevils,165,9,120,20.0
734003,1,Rajasthan Royals,148,8,120,20.0
734003,2,Chennai Super Kings,149,5,118,19.4
598066,1,Kings XI Punjab,183,8,120,20.0
598066,2,Mumbai Indians,133,9,115,19.1
1527681,1,Mumbai Indians,162,6,120,20.0
1527681,2,Delhi Capitals,164,4,109,18.1
980939,1,Rising Pune Supergiants,160,5,120,20.0
980939,2,Kolkata Knight Riders,162,8,117,19.3
1216511,1,Mumbai Indians,193,4,120,20.0
1216511,2,Rajasthan Royals,136,10,109,18.1
392231,1,Chennai Super Kings,188,3,120,20.0
392231,2,Kolkata Knight Riders,189,3,120,20.0
392232,1,Delhi Daredevils,134,7,120,20.0
392232,2,Royal Challengers Bangalore,135,3,114,19.0
1304064,1,Mumbai Indians,151,6,120,20.0
1304064,2,Royal Challengers Bangalore,152,3,111,18.3
1473509,1,Mumbai Indians,228,5,120,20.0
1473509,2,Gujarat Titans,208,6,120,20.0
1178408,1,Chennai Super Kings,132,5,120,20.0
1178408,2,Sunrisers Hyderabad,137,4,101,16.5
1254092,1,Delhi Capitals,127,9,120,20.0
1254092,2,Kolkata Knight Riders,130,7,110,18.2
1254058,1,Mumbai Indians,159,9,120,20.0
1254058,2,Royal Challengers Bangalore,160,8,120,20.0
1082602,1,Royal Challengers Bangalore,142,5,120,20.0
1082602,2,Mumbai Indians,145,6,113,18.5
1422134,1,Kolkata Knight Riders,272,7,120,20.0
1422134,2,Delhi Capitals,166,10,104,17.2
1527690,1,Sunrisers Hyderabad,219,6,120,20.0
1527690,2,Punjab Kings,223,4,113,18.5
1136590,1,Chennai Super Kings,211,4,120,20.0
1136590,2,Delhi Daredevils,198,5,120,20.0
335985,1,Mumbai Indians,165,7,120,20.0
335985,2,Royal Challengers Bangalore,166,5,118,19.4
980941,1,Mumbai Indians,189,6,120,20.0
980941,2,Kings XI Punjab,164,7,120,20.0
548355,1,Chennai Super Kings,173,8,120,20.0
548355,2,Mumbai Indians,174,8,120,20.0
733975,1,Delhi Daredevils,152,5,120,20.0
733975,2,Rajasthan Royals,156,3,111,18.3
1254072,1,Chennai Super Kings,220,3,120,20.0
1254072,2,Kolkata Knight Riders,202,10,115,19.1
1082635,1,Mumbai Indians,212,3,120,20.0
1082635,2,Delhi Daredevils,66,10,82,13.4
729307,1,Kings XI Punjab,132,9,120,20.0
729307,2,Kolkata Knight Riders,109,10,110,18.2
1426269,1,Kolkata Knight Riders,223,6,120,20.0
1426269,2,Rajasthan Royals,224,8,120,20.0
1178428,1,Rajasthan Royals,115,9,120,20.0
1178428,2,Delhi Capitals,121,5,97,16.1
1473486,1,Chennai Super Kings,190,10,116,19.2
1473486,2,Punjab Kings,194,6,118,19.4
1254085,1,Rajasthan Royals,220,3,120,20.0
1254085,2,Sunrisers Hyderabad,165,8,120,20.0
1304104,1,Rajasthan Royals,160,6,120,20.0
1304104,2,Delhi Capitals,161,2,109,18.1
1359483,1,Kolkata Knight Riders,204,7,120,20.0
1359483,2,Royal Challengers Bangalore,123,10,106,17.4
1304080,1,Rajasthan Royals,222,2,120,20.0
1304080,2,Delhi Capitals,207,8,120,20.0
981015,1,Sunrisers Hyderabad,162,8,120,20.0
981015,2,Kolkata Knight Riders,140,8,120,20.0
1304114,1,Chennai Super Kings,150,6,120,20.0
