match_id,season,date,city,venue,match_type,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
501219,2011,2011-04-20,Kolkata,Eden Gardens,T20,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kochi Tuskers Kerala,6.0,,DPMD Jayawardene,22.0
1254101,2021,2021-10-08,Dubai,Dubai International Cricket Stadium,T20,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,7.0,KS Bharat,56.0
1473448,2025,2025-03-30,Guwahati,"Barsapara Cricket Stadium, Guwahati",T20,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,6.0,,N Rana,11.0
1178425,2019,2019-05-01,Chennai,MA Chidambaram Stadium,T20,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,80.0,,MS Dhoni,50.0
1254084,2021,2021-05-01,Delhi,"Arun Jaitley Stadium, Delhi",T20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4.0,KA Pollard,27.0
1082644,2017,2017-05-13,Kolkata,Eden Gardens,T20,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,9.0,,AT Rayudu,54.0
1359531,2023,2023-05-12,Mumbai,"Wankhede Stadium, Mumbai",T20,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,27.0,,SA Yadav,57.0
1082629,2017,2017-05-01,Pune,Maharashtra Cricket Association Stadium,T20,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Rising Pune Supergiant,,5.0,BA Stokes,39.0
1312200,2022,2022-05-29,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",T20,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,,7.0,HH Pandya,
548332,2012,2012-04-21,Chennai,"MA Chidambaram Stadium, Chepauk",T20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,,7.0,F du Plessis,26.0
1178405,2019,2019-04-14,Hyderabad,Rajiv Gandhi International Stadium,T20,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,39.0,,KMA Paul,30.0
598023,2013,2013-04-20,Bangalore,M Chinnaswamy Stadium,T20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,7.0,R Vinay Kumar,27.0
