match_id,innings,over,delivery,batting_team,bowler,player_out,dismissal_kind,fielders
501219,1,6,6.6,Kochi Tuskers Kerala,Shakib Al Hasan,BB McCullum,caught,EJG Morgan
501219,1,7,7.6,Kochi Tuskers Kerala,YK Pathan,DPMD Jayawardene,lbw,
501219,1,9,9.5,Kochi Tuskers Kerala,YK Pathan,BJ Hodge,bowled,
501219,1,11,11.5,Kochi Tuskers Kerala,YK Pathan,PA Patel,lbw,
501219,1,14,14.6,Kochi Tuskers Kerala,Shakib Al Hasan,KM Jadhav,bowled,
501219,1,15,15.4,Kochi Tuskers Kerala,B Lee,RA Jadeja,caught,YK Pathan
501219,1,18,18.4,Kochi Tuskers Kerala,Shakib Al Hasan,R Vinay Kumar,bowled,
501219,2,3,3.3,Kolkata Knight Riders,R Vinay Kumar,JH Kallis,caught,KM Jadhav
501219,2,4,4.2,Kolkata Knight Riders,RP Singh,G Gambhir,bowled,
501219,2,5,5.6,Kolkata Knight Riders,RA Jadeja,MS Bisla,bowled,
501219,2,12,12.2,Kolkata Knight Riders,R Vinay Kumar,EJG Morgan,run out,DPMD Jayawardene
501219,2,14,14.6,Kolkata Knight Riders,RP Singh,Shakib Al Hasan,bowled,
501219,2,15,15.5,Kolkata Knight Riders,RR Powar,YK Pathan,caught,M Muralitharan
501219,2,16,16.6,Kolkata Knight Riders,RA Jadeja,MK Tiwary,stumped,PA Patel
501219,2,17,17.3,Kolkata Knight Riders,M Muralitharan,B Lee,caught,KM Jadhav
501219,2,19,19.5,Kolkata Knight Riders,R Vinay Kumar,R Bhatia,run out,"PA Patel, RA Jadeja"
1254101,1,10,10.1,Delhi Capitals,HV Patel,S Dhawan,caught,DT Christian
1254101,1,11,11.2,Delhi Capitals,YS Chahal,PP Shaw,caught,GHS Garton
1254101,1,12,12.4,Delhi Capitals,DT Christian,RR Pant,caught,KS Bharat
1254101,1,17,17.4,Delhi Capitals,Mohammed Siraj,SS Iyer,caught,DT Christian
1254101,1,19,19.6,Delhi Capitals,Mohammed Siraj,SO Hetmyer,caught,V Kohli
1254101,2,0,0.5,Royal Challengers Bangalore,A Nortje,D Padikkal,caught,R Ashwin
1254101,2,2,2.1,Royal Challengers Bangalore,A Nortje,V Kohli,caught,K Rabada
1254101,2,9,9.3,Royal Challengers Bangalore,AR Patel,AB de Villiers,caught,SS Iyer
1473448,1,0,0.3,Rajasthan Royals,KK Ahmed,YBK Jaiswal,caught,R Ashwin
1473448,1,7,7.3,Rajasthan Royals,Noor Ahmad,SV Samson,caught,R Ravindra
1473448,1,11,11.4,Rajasthan Royals,R Ashwin,N Rana,stumped,MS Dhoni
1473448,1,13,13.1,Rajasthan Royals,Noor Ahmad,Dhruv Jurel,caught,M Pathirana
1473448,1,14,14.1,Rajasthan Royals,RA Jadeja,PWH de Silva,caught,V Shankar
1473448,1,17,17.5,Rajasthan Royals,M Pathirana,R Parag,bowled,
1473448,1,18,18.3,Rajasthan Royals,KK Ahmed,JC Archer,caught,RD Gaikwad
1473448,1,18,18.5,Rajasthan Royals,KK Ahmed,K Kartikeya,run out,KK Ahmed
1473448,1,19,19.1,Rajasthan Royals,M Pathirana,SO Hetmyer,caught,R Ashwin
1473448,2,0,0.4,Chennai Super Kings,JC Archer,R Ravindra,caught,Dhruv Jurel
1473448,2,7,7.1,Chennai Super Kings,PWH de Silva,RA Tripathi,caught,SO Hetmyer
1473448,2,9,9.3,Chennai Super Kings,PWH de Silva,S Dube,caught,R Parag
1473448,2,11,11.5,Chennai Super Kings,PWH de Silva,V Shankar,bowled,
1473448,2,15,15.5,Chennai Super Kings,PWH de Silva,RD Gaikwad,caught,YBK Jaiswal
1473448,2,19,19.1,Chennai Super Kings,Sandeep Sharma,MS Dhoni,caught,SO Hetmyer
1178425,1,3,3.2,Chennai Super Kings,J Suchith,SR Watson,caught,AR Patel
1178425,1,13,13.3,Chennai Super Kings,AR Patel,F du Plessis,caught,S Dhawan
1178425,1,14,14.5,Chennai Super Kings,J Suchith,SK Raina,caught,S Dhawan
1178425,1,18,18.3,Chennai Super Kings,CH Morris,RA Jadeja,caught and bowled,
1178425,2,0,0.5,Delhi Capitals,DL Chahar,PP Shaw,caught,SK Raina
1178425,2,5,5.3,Delhi Capitals,Harbhajan Singh,S Dhawan,bowled,
1178425,2,6,6.2,Delhi Capitals,Imran Tahir,RR Pant,caught,DJ Bravo
1178425,2,7,7.4,Delhi Capitals,RA Jadeja,CA Ingram,lbw,
1178425,2,10,10.2,Delhi Capitals,Imran Tahir,AR Patel,caught,SR Watson
1178425,2,10,10.6,Delhi Capitals,Imran Tahir,SE Rutherford,caught,DL Chahar
1178425,2,11,11.4,Delhi Capitals,RA Jadeja,CH Morris,stumped,MS Dhoni
1178425,2,11,11.6,Delhi Capitals,RA Jadeja,SS Iyer,stumped,MS Dhoni
1178425,2,15,15.2,Delhi Capitals,DJ Bravo,J Suchith,run out,
1178425,2,16,16.2,Delhi Capitals,Imran Tahir,A Mishra,caught,MS Dhoni
1254084,1,0,0.4,Chennai Super Kings,TA Boult,RD Gaikwad,caught,HH Pandya
1254084,1,10,10.5,Chennai Super Kings,JJ Bumrah,MM Ali,caught,Q de Kock
1254084,1,11,11.5,Chennai Super Kings,KA Pollard,F du Plessis,caught,JJ Bumrah
1254084,1,11,11.6,Chennai Super Kings,KA Pollard,SK Raina,caught,KH Pandya
1254084,2,7,7.4,Mumbai Indians,SN Thakur,RG Sharma,caught,RD Gaikwad
1254084,2,8,8.4,Mumbai Indians,RA Jadeja,SA Yadav,caught,MS Dhoni
1254084,2,9,9.4,Mumbai Indians,MM Ali,Q de Kock,caught and bowled,
1254084,2,16,16.3,Mumbai Indians,SM Curran,KH Pandya,lbw,
1254084,2,18,18.4,Mumbai Indians,SM Curran,HH Pandya,caught,F du Plessis
1254084,2,18,18.6,Mumbai Indians,SM Curran,JDS Neesham,caught,SN Thakur
1082644,1,2,2.2,Mumbai Indians,TA Boult,LMP Simmons,caught,SP Narine
1082644,1,8,8.2,Mumbai Indians,AS Rajpoot,RG Sharma,lbw,
1082644,1,15,15.6,Mumbai Indians,UT Yadav,SS Tiwary,run out,UT Yadav
1082644,1,18,18.5,Mumbai Indians,Kuldeep Yadav,AT Rayudu,stumped,RV Uthappa
1082644,1,19,19.4,Mumbai Indians,TA Boult,KA Pollard,caught,YK Pathan
1082644,2,0,0.4,Kolkata Knight Riders,TG Southee,SP Narine,caught,HH Pandya
1082644,2,4,4.3,Kolkata Knight Riders,MG Johnson,G Gambhir,caught,KV Sharma
1082644,2,5,5.6,Kolkata Knight Riders,KV Sharma,RV Uthappa,caught,RG Sharma
1082644,2,6,6.2,Kolkata Knight Riders,R Vinay Kumar,CA Lynn,caught,J Suchith
1082644,2,8,8.6,Kolkata Knight Riders,R Vinay Kumar,YK Pathan,caught,HH Pandya
1082644,2,14,14.1,Kolkata Knight Riders,HH Pandya,C de Grandhomme,bowled,
1082644,2,17,17.1,Kolkata Knight Riders,HH Pandya,MK Pandey,caught,J Suchith
1082644,2,18,18.3,Kolkata Knight Riders,TG Southee,Kuldeep Yadav,caught,AT Rayudu
1359531,1,6,6.1,Mumbai Indians,Rashid Khan,RG Sharma,caught,R Tewatia
1359531,1,6,6.5,Mumbai Indians,Rashid Khan,Ishan Kishan,lbw,
1359531,1,8,8.6,Mumbai Indians,Rashid Khan,N Wadhera,bowled,
